BoroCT2010,RE80_Quad,IE80_Quad,CE80_Quad,RE90_Quad,IE90_Quad,CE90_Quad,RE00_Quad,IE00_Quad,CE00_Quad,RE10_Quad,IE10_Quad,CE10_Quad,RE11_Quad,IE11_Quad,CE11_Quad,RE12_Quad,IE12_Quad,CE12_Quad,RE13_Quad,IE13_Quad,CE13_Quad,RE14_Quad,IE14_Quad,CE14_Quad,RE15_Quad,IE15_Quad,CE15_Quad,RE16_Quad,IE16_Quad,CE16_Quad
3034100,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3034200,0,3,3,1,3,3,1,3,3,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,0,1,3,0
3036300,0,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3
3036502,0,3,3,0,3,3,0,3,3,0,0,3,0,0,3,0,0,3,0,0,3,0,4,3,0,3,3,0,3,3
3038800,3,3,3,3,3,3,0,3,3,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,1,0
3039600,3,3,3,3,3,3,3,3,3,3,0,4,3,0,4,3,0,0,3,0,0,3,0,0,3,0,0,3,1,0
3039700,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3039900,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3040100,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3040400,3,3,3,0,3,3,0,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
3040600,3,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3040800,3,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
3041300,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3041401,3,3,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0
3041500,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3041700,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3041800,3,3,3,3,3,3,3,3,3,3,0,0,3,1,0,3,0,0,3,1,0,3,2,0,3,0,0,3,1,0
3041900,0,3,3,0,3,3,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3042000,3,3,3,0,3,3,3,3,3,3,0,0,3,0,0,3,0,0,3,0,0,3,1,0,0,1,0,3,1,0
3042100,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3042600,3,3,3,0,3,3,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1
3042700,0,3,3,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
3042800,3,3,3,0,3,3,0,3,3,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3042900,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
3043000,3,3,3,0,3,3,0,3,3,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,2,2,0,2,2
3043100,1,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3043200,4,3,3,0,3,3,0,3,3,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
3043300,0,3,3,0,3,3,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
3043400,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
3043500,0,3,3,0,3,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3043600,3,3,3,0,3,3,0,3,3,0,2,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
3043900,0,3,3,1,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3044000,3,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
3044100,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3044200,3,3,3,3,3,3,3,3,3,3,1,0,3,1,0,3,1,0,0,1,0,3,1,0,0,1,0,0,1,0
3044300,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
